Type Eigendom;Gemiddelde WOZ-waarde;Jaar;Decennium;Regio
Huurwoning in bezit woningcorporatie;163.0;2020;2020;Zuid-Nederland
Huurwoning in bezit woningcorporatie;174.0;2021;2020;Zuid-Nederland
Huurwoning in bezit woningcorporatie;191.0;2022;2020;Zuid-Nederland
Huurwoning in bezit woningcorporatie;223.0;2023;2020;Zuid-Nederland
Huurwoning in bezit woningcorporatie;;2024;2020;Zuid-Nederland
Eigendom overige verhuurders;204.0;2019;2010;Zuid-Nederland
Eigendom overige verhuurders;217.0;2020;2020;Zuid-Nederland
Eigendom overige verhuurders;227.0;2021;2020;Zuid-Nederland
Eigendom overige verhuurders;244.0;2022;2020;Zuid-Nederland
Eigendom overige verhuurders;279.0;2023;2020;Zuid-Nederland
Eigendom overige verhuurders;;2024;2020;Zuid-Nederland
Totaal;177.0;2019;2010;Groningen
Totaal;190.0;2020;2020;Groningen
Totaal;205.0;2021;2020;Groningen
Totaal;228.0;2022;2020;Groningen
Totaal;268.0;2023;2020;Groningen
Totaal;279.0;2024;2020;Groningen
Koopwoningen;215.0;2019;2010;Groningen
Koopwoningen;230.0;2020;2020;Groningen
Koopwoningen;249.0;2021;2020;Groningen
Koopwoningen;277.0;2022;2020;Groningen
Koopwoningen;324.0;2023;2020;Groningen
Koopwoningen;;2024;2020;Groningen
Huurwoning in bezit woningcorporatie;117.0;2019;2010;Groningen
Huurwoning in bezit woningcorporatie;126.0;2020;2020;Groningen
Huurwoning in bezit woningcorporatie;137.0;2021;2020;Groningen
Huurwoning in bezit woningcorporatie;153.0;2022;2020;Groningen
Huurwoning in bezit woningcorporatie;183.0;2023;2020;Groningen
Huurwoning in bezit woningcorporatie;;2024;2020;Groningen
Eigendom overige verhuurders;155.0;2019;2010;Groningen
Eigendom overige verhuurders;166.0;2020;2020;Groningen
Eigendom overige verhuurders;178.0;2021;2020;Groningen
Eigendom overige verhuurders;197.0;2022;2020;Groningen
Eigendom overige verhuurders;229.0;2023;2020;Groningen
Eigendom overige verhuurders;;2024;2020;Groningen
Totaal;190.0;2019;2010;Fryslân
Totaal;202.0;2020;2020;Fryslân
Totaal;217.0;2021;2020;Fryslân
Totaal;241.0;2022;2020;Fryslân
Totaal;278.0;2023;2020;Fryslân
Totaal;290.0;2024;2020;Fryslân
Koopwoningen;228.0;2019;2010;Fryslân
Koopwoningen;243.0;2020;2020;Fryslân
Koopwoningen;262.0;2021;2020;Fryslân
Koopwoningen;290.0;2022;2020;Fryslân
Koopwoningen;334.0;2023;2020;Fryslân
Koopwoningen;;2024;2020;Fryslân
Huurwoning in bezit woningcorporatie;113.0;2019;2010;Fryslân
Huurwoning in bezit woningcorporatie;121.0;2020;2020;Fryslân
Huurwoning in bezit woningcorporatie;132.0;2021;2020;Fryslân
Huurwoning in bezit woningcorporatie;146.0;2022;2020;Fryslân
Huurwoning in bezit woningcorporatie;172.0;2023;2020;Fryslân
Huurwoning in bezit woningcorporatie;;2024;2020;Fryslân
Eigendom overige verhuurders;156.0;2019;2010;Fryslân
Eigendom overige verhuurders;162.0;2020;2020;Fryslân
Eigendom overige verhuurders;170.0;2021;2020;Fryslân
Eigendom overige verhuurders;187.0;2022;2020;Fryslân
Eigendom overige verhuurders;210.0;2023;2020;Fryslân
Eigendom overige verhuurders;;2024;2020;Fryslân
Totaal;203.0;2019;2010;Drenthe
Totaal;215.0;2020;2020;Drenthe
Totaal;230.0;2021;2020;Drenthe
Totaal;255.0;2022;2020;Drenthe
Totaal;295.0;2023;2020;Drenthe
Totaal;307.0;2024;2020;Drenthe
Koopwoningen;240.0;2019;2010;Drenthe
Koopwoningen;255.0;2020;2020;Drenthe
Koopwoningen;272.0;2021;2020;Drenthe
Koopwoningen;302.0;2022;2020;Drenthe
Koopwoningen;349.0;2023;2020;Drenthe
Koopwoningen;;2024;2020;Drenthe
Huurwoning in bezit woningcorporatie;117.0;2019;2010;Drenthe
Huurwoning in bezit woningcorporatie;124.0;2020;2020;Drenthe
Huurwoning in bezit woningcorporatie;133.0;2021;2020;Drenthe
Huurwoning in bezit woningcorporatie;147.0;2022;2020;Drenthe
Huurwoning in bezit woningcorporatie;172.0;2023;2020;Drenthe
Huurwoning in bezit woningcorporatie;;2024;2020;Drenthe
Eigendom overige verhuurders;165.0;2019;2010;Drenthe
Eigendom overige verhuurders;172.0;2020;2020;Drenthe
Eigendom overige verhuurders;181.0;2021;2020;Drenthe
Eigendom overige verhuurders;196.0;2022;2020;Drenthe
Eigendom overige verhuurders;224.0;2023;2020;Drenthe
Eigendom overige verhuurders;;2024;2020;Drenthe
Totaal;221.0;2019;2010;Overijssel
Totaal;235.0;2020;2020;Overijssel
Totaal;251.0;2021;2020;Overijssel
Totaal;280.0;2022;2020;Overijssel
Totaal;326.0;2023;2020;Overijssel
Totaal;344.0;2024;2020;Overijssel
Koopwoningen;265.0;2019;2010;Overijssel
Koopwoningen;283.0;2020;2020;Overijssel
Koopwoningen;302.0;2021;2020;Overijssel
Koopwoningen;336.0;2022;2020;Overijssel
Koopwoningen;391.0;2023;2020;Overijssel
Koopwoningen;;2024;2020;Overijssel
Huurwoning in bezit woningcorporatie;138.0;2019;2010;Overijssel
Huurwoning in bezit woningcorporatie;147.0;2020;2020;Overijssel
Huurwoning in bezit woningcorporatie;159.0;2021;2020;Overijssel
Huurwoning in bezit woningcorporatie;176.0;2022;2020;Overijssel
Huurwoning in bezit woningcorporatie;209.0;2023;2020;Overijssel
Huurwoning in bezit woningcorporatie;;2024;2020;Overijssel
Eigendom overige verhuurders;182.0;2019;2010;Overijssel
Eigendom overige verhuurders;190.0;2020;2020;Overijssel
Eigendom overige verhuurders;202.0;2021;2020;Overijssel
Eigendom overige verhuurders;222.0;2022;2020;Overijssel
Eigendom overige verhuurders;255.0;2023;2020;Overijssel
Eigendom overige verhuurders;;2024;2020;Overijssel
Totaal;218.0;2019;2010;Flevoland
Totaal;241.0;2020;2020;Flevoland
Totaal;262.0;2021;2020;Flevoland
Totaal;292.0;2022;2020;Flevoland
Totaal;348.0;2023;2020;Flevoland
Totaal;362.0;2024;2020;Flevoland
Koopwoningen;248.0;2019;2010;Flevoland
Koopwoningen;274.0;2020;2020;Flevoland
Koopwoningen;297.0;2021;2020;Flevoland
Koopwoningen;332.0;2022;2020;Flevoland
Koopwoningen;395.0;2023;2020;Flevoland
Koopwoningen;;2024;2020;Flevoland
Huurwoning in bezit woningcorporatie;148.0;2019;2010;Flevoland
Huurwoning in bezit woningcorporatie;165.0;2020;2020;Flevoland
Huurwoning in bezit woningcorporatie;181.0;2021;2020;Flevoland
Huurwoning in bezit woningcorporatie;201.0;2022;2020;Flevoland
Huurwoning in bezit woningcorporatie;244.0;2023;2020;Flevoland
Huurwoning in bezit woningcorporatie;;2024;2020;Flevoland
Eigendom overige verhuurders;205.0;2019;2010;Flevoland
Eigendom overige verhuurders;223.0;2020;2020;Flevoland
Eigendom overige verhuurders;240.0;2021;2020;Flevoland
Eigendom overige verhuurders;264.0;2022;2020;Flevoland
Eigendom overige verhuurders;302.0;2023;2020;Flevoland
Eigendom overige verhuurders;;2024;2020;Flevoland
Totaal;246.0;2019;2010;Gelderland
Totaal;263.0;2020;2020;Gelderland
Totaal;281.0;2021;2020;Gelderland
Totaal;310.0;2022;2020;Gelderland
Totaal;365.0;2023;2020;Gelderland
Totaal;380.0;2024;2020;Gelderland
Koopwoningen;294.0;2019;2010;Gelderland
Koopwoningen;314.0;2020;2020;Gelderland
Koopwoningen;335.0;2021;2020;Gelderland
Koopwoningen;371.0;2022;2020;Gelderland
Koopwoningen;435.0;2023;2020;Gelderland
Koopwoningen;;2024;2020;Gelderland
Huurwoning in bezit woningcorporatie;155.0;2019;2010;Gelderland
Huurwoning in bezit woningcorporatie;166.0;2020;2020;Gelderland
Huurwoning in bezit woningcorporatie;177.0;2021;2020;Gelderland
Huurwoning in bezit woningcorporatie;197.0;2022;2020;Gelderland
Huurwoning in bezit woningcorporatie;236.0;2023;2020;Gelderland
Huurwoning in bezit woningcorporatie;;2024;2020;Gelderland
Eigendom overige verhuurders;208.0;2019;2010;Gelderland
Eigendom overige verhuurders;220.0;2020;2020;Gelderland
Eigendom overige verhuurders;233.0;2021;2020;Gelderland
Eigendom overige verhuurders;252.0;2022;2020;Gelderland
Eigendom overige verhuurders;293.0;2023;2020;Gelderland
Eigendom overige verhuurders;;2024;2020;Gelderland
Totaal;301.0;2019;2010;Utrecht
Totaal;326.0;2020;2020;Utrecht
Totaal;349.0;2021;2020;Utrecht
Totaal;382.0;2022;2020;Utrecht
Totaal;448.0;2023;2020;Utrecht
Totaal;450.0;2024;2020;Utrecht
Koopwoningen;361.0;2019;2010;Utrecht
Koopwoningen;390.0;2020;2020;Utrecht
Koopwoningen;417.0;2021;2020;Utrecht
Koopwoningen;457.0;2022;2020;Utrecht
Koopwoningen;535.0;2023;2020;Utrecht
Koopwoningen;;2024;2020;Utrecht
Huurwoning in bezit woningcorporatie;191.0;2019;2010;Utrecht
Huurwoning in bezit woningcorporatie;211.0;2020;2020;Utrecht
Huurwoning in bezit woningcorporatie;230.0;2021;2020;Utrecht
Huurwoning in bezit woningcorporatie;256.0;2022;2020;Utrecht
Huurwoning in bezit woningcorporatie;303.0;2023;2020;Utrecht
Huurwoning in bezit woningcorporatie;;2024;2020;Utrecht
Eigendom overige verhuurders;257.0;2019;2010;Utrecht
Eigendom overige verhuurders;278.0;2020;2020;Utrecht
Eigendom overige verhuurders;296.0;2021;2020;Utrecht
Eigendom overige verhuurders;314.0;2022;2020;Utrecht
Eigendom overige verhuurders;366.0;2023;2020;Utrecht
Eigendom overige verhuurders;;2024;2020;Utrecht
Totaal;318.0;2019;2010;Noord-Holland
Totaal;350.0;2020;2020;Noord-Holland
Totaal;368.0;2021;2020;Noord-Holland
Totaal;394.0;2022;2020;Noord-Holland
Totaal;461.0;2023;2020;Noord-Holland
Totaal;462.0;2024;2020;Noord-Holland
Koopwoningen;374.0;2019;2010;Noord-Holland
Koopwoningen;410.0;2020;2020;Noord-Holland
Koopwoningen;435.0;2021;2020;Noord-Holland
Koopwoningen;471.0;2022;2020;Noord-Holland
Koopwoningen;548.0;2023;2020;Noord-Holland
Koopwoningen;;2024;2020;Noord-Holland
Huurwoning in bezit woningcorporatie;224.0;2019;2010;Noord-Holland
Huurwoning in bezit woningcorporatie;250.0;2020;2020;Noord-Holland
Huurwoning in bezit woningcorporatie;260.0;2021;2020;Noord-Holland
Huurwoning in bezit woningcorporatie;276.0;2022;2020;Noord-Holland
Huurwoning in bezit woningcorporatie;330.0;2023;2020;Noord-Holland
Huurwoning in bezit woningcorporatie;;2024;2020;Noord-Holland
Eigendom overige verhuurders;328.0;2019;2010;Noord-Holland
Eigendom overige verhuurders;358.0;2020;2020;Noord-Holland
Eigendom overige verhuurders;366.0;2021;2020;Noord-Holland
Eigendom overige verhuurders;380.0;2022;2020;Noord-Holland
Eigendom overige verhuurders;445.0;2023;2020;Noord-Holland
Eigendom overige verhuurders;;2024;2020;Noord-Holland
Totaal;236.0;2019;2010;Zuid-Holland
Totaal;261.0;2020;2020;Zuid-Holland
Totaal;282.0;2021;2020;Zuid-Holland
Totaal;311.0;2022;2020;Zuid-Holland
Totaal;359.0;2023;2020;Zuid-Holland
Totaal;373.0;2024;2020;Zuid-Holland
Koopwoningen;299.0;2019;2010;Zuid-Holland
Koopwoningen;328.0;2020;2020;Zuid-Holland
Koopwoningen;354.0;2021;2020;Zuid-Holland
Koopwoningen;388.0;2022;2020;Zuid-Holland
Koopwoningen;447.0;2023;2020;Zuid-Holland
Koopwoningen;;2024;2020;Zuid-Holland
Huurwoning in bezit woningcorporatie;152.0;2019;2010;Zuid-Holland
Huurwoning in bezit woningcorporatie;171.0;2020;2020;Zuid-Holland
Huurwoning in bezit woningcorporatie;188.0;2021;2020;Zuid-Holland
Huurwoning in bezit woningcorporatie;210.0;2022;2020;Zuid-Holland
Huurwoning in bezit woningcorporatie;244.0;2023;2020;Zuid-Holland
Huurwoning in bezit woningcorporatie;;2024;2020;Zuid-Holland
Eigendom overige verhuurders;198.0;2019;2010;Zuid-Holland
Eigendom overige verhuurders;221.0;2020;2020;Zuid-Holland
Eigendom overige verhuurders;240.0;2021;2020;Zuid-Holland
Eigendom overige verhuurders;263.0;2022;2020;Zuid-Holland
Eigendom overige verhuurders;302.0;2023;2020;Zuid-Holland
Eigendom overige verhuurders;;2024;2020;Zuid-Holland
Totaal;205.0;2019;2010;Zeeland
Totaal;215.0;2020;2020;Zeeland
Totaal;228.0;2021;2020;Zeeland
Totaal;248.0;2022;2020;Zeeland
Totaal;282.0;2023;2020;Zeeland
Totaal;304.0;2024;2020;Zeeland
Koopwoningen;237.0;2019;2010;Zeeland
Koopwoningen;249.0;2020;2020;Zeeland
Koopwoningen;264.0;2021;2020;Zeeland
Koopwoningen;287.0;2022;2020;Zeeland
Koopwoningen;326.0;2023;2020;Zeeland
Koopwoningen;;2024;2020;Zeeland
Huurwoning in bezit woningcorporatie;123.0;2019;2010;Zeeland
Huurwoning in bezit woningcorporatie;128.0;2020;2020;Zeeland
Huurwoning in bezit woningcorporatie;137.0;2021;2020;Zeeland
Huurwoning in bezit woningcorporatie;149.0;2022;2020;Zeeland
Huurwoning in bezit woningcorporatie;169.0;2023;2020;Zeeland
Huurwoning in bezit woningcorporatie;;2024;2020;Zeeland
Eigendom overige verhuurders;173.0;2019;2010;Zeeland
Eigendom overige verhuurders;180.0;2020;2020;Zeeland
Eigendom overige verhuurders;189.0;2021;2020;Zeeland
Eigendom overige verhuurders;205.0;2022;2020;Zeeland
Eigendom overige verhuurders;227.0;2023;2020;Zeeland
Eigendom overige verhuurders;;2024;2020;Zeeland
Totaal;260.0;2019;2010;Noord-Brabant
Totaal;278.0;2020;2020;Noord-Brabant
Totaal;295.0;2021;2020;Noord-Brabant
Totaal;323.0;2022;2020;Noord-Brabant
Totaal;370.0;2023;2020;Noord-Brabant
Totaal;385.0;2024;2020;Noord-Brabant
Koopwoningen;309.0;2019;2010;Noord-Brabant
Koopwoningen;330.0;2020;2020;Noord-Brabant
Koopwoningen;351.0;2021;2020;Noord-Brabant
Koopwoningen;385.0;2022;2020;Noord-Brabant
Koopwoningen;441.0;2023;2020;Noord-Brabant
Koopwoningen;;2024;2020;Noord-Brabant
Huurwoning in bezit woningcorporatie;165.0;2019;2010;Noord-Brabant
Huurwoning in bezit woningcorporatie;177.0;2020;2020;Noord-Brabant
Huurwoning in bezit woningcorporatie;189.0;2021;2020;Noord-Brabant
Huurwoning in bezit woningcorporatie;208.0;2022;2020;Noord-Brabant
Huurwoning in bezit woningcorporatie;240.0;2023;2020;Noord-Brabant
Huurwoning in bezit woningcorporatie;;2024;2020;Noord-Brabant
Eigendom overige verhuurders;221.0;2019;2010;Noord-Brabant
Eigendom overige verhuurders;234.0;2020;2020;Noord-Brabant
Eigendom overige verhuurders;247.0;2021;2020;Noord-Brabant
Eigendom overige verhuurders;266.0;2022;2020;Noord-Brabant
Eigendom overige verhuurders;303.0;2023;2020;Noord-Brabant
Eigendom overige verhuurders;;2024;2020;Noord-Brabant
Totaal;203.0;2019;2010;Limburg
Totaal;218.0;2020;2020;Limburg
Totaal;231.0;2021;2020;Limburg
Totaal;246.0;2022;2020;Limburg
Totaal;288.0;2023;2020;Limburg
Totaal;290.0;2024;2020;Limburg
Koopwoningen;243.0;2019;2010;Limburg
Koopwoningen;261.0;2020;2020;Limburg
Koopwoningen;278.0;2021;2020;Limburg
Koopwoningen;295.0;2022;2020;Limburg
Koopwoningen;346.0;2023;2020;Limburg
Koopwoningen;;2024;2020;Limburg
Huurwoning in bezit woningcorporatie;123.0;2019;2010;Limburg
Huurwoning in bezit woningcorporatie;132.0;2020;2020;Limburg
Huurwoning in bezit woningcorporatie;139.0;2021;2020;Limburg
Huurwoning in bezit woningcorporatie;153.0;2022;2020;Limburg
Huurwoning in bezit woningcorporatie;182.0;2023;2020;Limburg
Huurwoning in bezit woningcorporatie;;2024;2020;Limburg
Eigendom overige verhuurders;173.0;2019;2010;Limburg
Eigendom overige verhuurders;184.0;2020;2020;Limburg
Eigendom overige verhuurders;190.0;2021;2020;Limburg
Eigendom overige verhuurders;203.0;2022;2020;Limburg
Eigendom overige verhuurders;233.0;2023;2020;Limburg
Eigendom overige verhuurders;;2024;2020;Limburg
